itemNo,year,month,day,hour,minutes,Ta,Tf,V,I,OP,OffsetH
245,2020,10,3,13,50,28.6,35.6,27.206,.475,28.54,30.83
246,2020,10,4,14,35,30.4,37.3,27.170,.475,28.45,30.83
247,2020,10,5,19,9,30.3,38.9,27.140,.475,28.36,30.83
248,2020,10,7,20,3,25.3,35.1,27.224,.475,28.62,54.83
249,2020,10,8,9,35,23.5,32.7,27.275,.475,28.71,54.83
250,2020,10,9,16,26,25.6,34.0,27.246,.475,28.62,54.83
251,2020,10,10,20,34,25.2,34.5,27.237,.475,28.54,54.83
252,2020,10,11,15,45,27.2,34.5,27.236,.475,28.54,54.83
253,2020,10,12,16,32,27.8,35.5,27.215,.475,28.54,54.83
254,2020,10,13,22,0,27.6,37.0,27.183,.475,28.36,54.83
255,2020,10,14,20,28,29.3,38.6,27.148,.475,28.11,54.83
256,2020,10,15,19,18,30.2,38.8,27.144,.475,28.19,54.83
257,2020,10,16,11,22,25.0,33.6,27.256,.475,28.54,54.83
258,2020,10,17,20,39,27.8,37.6,27.170,.475,28.28,54.83
259,2020,10,18,12,24,25.2,32.3,27.284,.475,28.54,54.83
260,2020,10,19,9,25,23.9,33.3,27.264,.475,28.45,54.83
261,2020,10,19,15,43,29.6,36.1,27.2,.475,28.28,54.83
262,2020,10,20,9,19,23.6,33.1,27.268,.475,28.45,54.83
263,2020,10,20,13,36,26.3,33.4,27.253,.475,28.45,54.83
264,2020,10,21,14,56,28.8,35.5,27.214,.475,28.28,54.83
265,2020,10,22,18,50,28.9,37.2,27.182,.475,28.19,54.83
266,2020,10,23,11,35,22.6,31.2,27.313,.475,28.54,54.83
267,2020,10,23,21,11,25.0,34.4,27.243,.475,28.36,54.83
268,2020,10,24,17,23,24.8,33.8,27.260,.475,28.36,54.83
269,2020,10,25,17,45,24.3,33.8,27.257,.475,28.36,54.83
270,2020,10,26,11,49,21.5,30.2,27.337,.475,28.62,54.83
271,2020,10,26,17,29,25.0,33.1,27.272,.475,28.45,54.83
272,2020,10,27,21,14,24.0,33.1,27.272,.475,28.45,54.83
273,2020,10,28,17,3,25.0,32.7,27.281,.475,28.45,54.83
274,2020,10,29,18,15,24.5,33.2,27.273,.475,28.28,54.83
275,2020,10,30,16,58,25.1,32.5,27.287,.475,28.28,54.83
276,2020,10,31,17,46,24.9,33.7,27.260,.475,28.28,54.83
277,2020,11,1,16,35,24.9,32.8,27.278,.475,28.28,55.13
278,2020,11,2,18,45,24.3,33.3,27.266,.475,28.28,55.13
279,2020,11,3,17,00,25.5,34.0,27.253,.475,28.19,55.13
280,2020,11,4,20,47,24.3,33.7,27.262,.475,28.19,55.13
281,2020,11,5,16,45,26.7,35.3,27.266,.475,28.11,55.13
282,2020,11,6,21,26,22.1,31.2,27.319,.475,28.28,55.13
283,2020,11,7,16,57,21.7,30.1,27.341,.475,28.36,55.13
284,2020,11,8,22,34,18.5,27.6,27.399,.475,28.54,55.13
285,2020,11,9,19,39,19.0,27.9,27.392,.475,28.54,55.13
286,2020,11,10,17,54,20.4,28.6,27.375,.475,28.45,55.13
287,2020,11,11,21,5,18.8,28.0,27.390,.475,28.45,55.13
288,2020,11,12,17,14,20.1,28.7,27.373,.475,28.36,55.13
289,2020,11,13,14,31,20.0,28.3,27.383,.475,28.45,55.13
290,2020,11,14,16,39,18.8,28.4,27.383,.475,28.36,55.13
291,2020,11,16,17,05,21.0,29.6,27.355,.475,28.28,55.13
292,2020,11,25,13,22,15.7,15.7,27.695,.475,28.71,267.413
293,2020,11,25,13,22.67,15.9,16.3,27.683,.475,28.71,267.413
294,2020,11,25,13,23.1,16,16.3,27.679,.475,28.71,267.413
295,2020,11,25,13,23.67,16.2,16.4,27.676,.475,28.71,267.413
296,2020,11,25,13,24,16.3,16.4,27.674,.475,28.71,267.413
297,2020,11,25,13,24.5,16.3,16.4,27.671,.475,28.71,267.413
298,2020,11,25,13,25,16.4,16.5,27.668,.475,28.71,267.413
299,2020,11,25,13,28,16.5,17,27.654,.475,28.71,267.413
300,2020,11,25,13,31,16.5,17.4,27.644,.475,28.71,267.413
301,2020,11,25,13,34,16.6,17.8,27.633,.475,28.71,267.413
302,2020,11,25,13,37,16.6,18.2,27.624,.475,28.71,267.413
303,2020,11,25,13,57,17.0,20.2,27.526,.475,28.62,267.413
304,2020,11,25,15,21,17.9,22.9,27.510,.475,28.54,267.413
305,2020,11,25,15,34,18.2,23.4,27.498,.475,28.54,267.413
306,2020,11,25,16,30,18.5,25.1,27.458,.475,28.45,267.413
307,2020,11,26,14,46,18.2,25.7,27.442,.475,28.45,267.413
308,2020,11,27,21,10,16.6,25.6,27.450,.475,28.54,267.413
309,2020,11,29,18,31,18.3,26.1,27.436,.475,28.54,267.413
310,2020,12,1,18,57,18.8,26.9,27.416,.475,28.45,267.413
311,2020,12,2,16,17,18.6,26.2,27.433,.475,28.45,267.413
312,2020,12,3,21,55,17.5,26.1,27.436,.475,28.45,267.413
313,2020,12,12,13,21,16.8,25.8,27.445,.475,28.36,267.413
314,2020,12,21,17,49,15.5,24.2,28.600,.475,28.45,267.413
315,2020,12,30,14,16,17.1,24.6,28.6,.475,28.36,267.413
