Wave	Shawn LED
190.96	760.67
191.34	760.67
191.72	760.67
192.10	748.97
192.48	744.29
192.86	695.14
193.24	755.99
193.62	814.51
193.99	695.14
194.37	781.74
194.75	685.78
195.13	739.61
195.51	786.42
195.89	805.14
196.27	826.21
196.65	777.06
197.03	770.04
197.41	870.68
197.78	835.57
198.16	863.66
198.54	898.77
198.92	910.47
199.30	908.13
199.68	1015.79
200.06	976.00
200.44	966.64
200.81	1001.75
201.19	1022.81
201.57	1057.92
201.95	1050.90
202.33	1062.60
202.71	1060.26
203.09	1088.35
203.46	1086.01
203.84	1111.75
204.22	1097.71
204.60	1055.58
204.98	1083.67
205.36	1118.78
205.73	1132.82
206.11	1121.12
206.49	1050.90
206.87	1086.01
207.25	1107.07
207.63	1100.05
208.00	1102.39
208.38	1069.62
208.76	1100.05
209.14	1086.01
209.52	1104.73
209.89	1069.62
210.27	1078.99
210.65	1036.86
211.03	1128.14
211.41	1093.03
211.78	1130.48
212.16	1076.65
212.54	1130.48
212.92	1109.41
213.29	1069.62
213.67	1046.22
214.05	1057.92
214.43	1034.52
214.81	1060.26
215.18	1034.52
215.56	1067.28
215.94	1067.28
216.32	1100.05
216.69	1064.94
217.07	1067.28
217.45	1069.62
217.83	1104.73
218.20	1027.50
218.58	1022.81
218.96	1043.88
219.33	1043.88
219.71	1160.91
220.09	1093.03
220.47	1048.56
220.84	1095.37
221.22	1076.65
221.60	1076.65
221.97	1076.65
222.35	1060.26
222.73	1060.26
223.11	1121.12
223.48	1123.46
223.86	1018.13
224.24	1055.58
224.61	1107.07
224.99	1109.41
225.37	1067.28
225.74	1039.20
226.12	1111.75
226.50	1053.24
226.87	1041.54
227.25	1053.24
227.63	1053.24
228.00	1043.88
228.38	1083.67
228.76	1100.05
229.13	1069.62
229.51	1046.22
229.89	1043.88
230.26	1025.15
230.64	1069.62
231.02	1097.71
231.39	1086.01
231.77	1090.69
232.14	1135.16
232.52	1067.28
232.90	1086.01
233.27	1114.10
233.65	1076.65
234.03	1146.86
234.40	1100.05
234.78	1043.88
235.15	1114.10
235.53	1093.03
235.91	1039.20
236.28	1053.24
236.66	1097.71
237.03	1095.37
237.41	1093.03
237.79	1029.84
238.16	1139.84
238.54	1043.88
238.91	1160.91
239.29	1078.99
239.66	1013.45
240.04	1116.44
240.42	1053.24
240.79	1090.69
241.17	1095.37
241.54	1107.07
241.92	1109.41
242.29	1116.44
242.67	1041.54
243.04	985.37
243.42	1081.33
243.79	1093.03
244.17	1046.22
244.55	1111.75
244.92	1111.75
245.30	1043.88
245.67	1102.39
246.05	1053.24
246.42	1088.35
246.80	1118.78
247.17	1090.69
247.55	1100.05
247.92	1146.86
248.30	1135.16
248.67	1125.80
249.05	1109.41
249.42	1090.69
249.80	1071.97
250.17	1114.10
250.55	1060.26
250.92	1095.37
251.30	1083.67
251.67	1102.39
252.05	1076.65
252.42	1083.67
252.79	1062.60
253.17	1139.84
253.54	1146.86
253.92	1034.52
254.29	1160.91
254.67	1090.69
255.04	1074.31
255.42	1083.67
255.79	1083.67
256.17	1114.10
256.54	1076.65
256.91	1158.57
257.29	997.07
257.66	1123.46
258.04	1102.39
258.41	1057.92
258.79	1095.37
259.16	1107.07
259.53	1142.18
259.91	1046.22
260.28	1086.01
260.66	1121.12
261.03	1067.28
261.40	1093.03
261.78	1090.69
262.15	1057.92
262.53	1043.88
262.90	1097.71
263.27	1125.80
263.65	1071.97
264.02	1144.52
264.39	1076.65
264.77	1125.80
265.14	1074.31
265.52	1046.22
265.89	1067.28
266.26	1057.92
266.64	1078.99
267.01	1062.60
267.38	1118.78
267.76	1071.97
268.13	1123.46
268.50	1043.88
