Wavelength (nm)	AbsIrrad
270.041	1.15
270.496	1.2
270.95	1.53
271.405	1.69
271.859	1.4
272.314	1.99
272.768	1.84
273.223	1.94
273.677	2.56
274.132	2.01
274.587	2.79
275.042	4.91
275.497	1.94
275.951	2.34
276.406	2.05
276.861	3.41
277.316	2.38
277.771	2.49
278.227	1.84
278.682	2.5
279.137	2.86
279.592	3.38
280.047	1.96
280.503	1.83
280.958	1.38
281.413	2.29
281.869	1.48
282.324	1.05
282.78	0.87
283.235	2.17
283.691	0.91
284.147	0.83
284.602	1.13
285.058	0.68
285.514	0.59
285.97	0.73
286.425	0.45
286.881	0.67
287.337	0.42
287.793	0.36
288.249	0.31
288.705	0.32
289.161	0.27
289.618	0.43
