itemNo,year,month,day,hour,minutes,seconds,Ta,Tf,V1,V2,I,OP,OffsetH
0,2020,10,18,14,17,00,29.2,29.2,17.1,16.6,2,228.5,0
1,2020,10,18,14,17,10,29.2,29.2,17.1,16.48,2,227.4,0
2,2020,10,18,14,17,20,,,17.1,16.46,2,227.4,0
3,2020,10,18,14,17,30,,,17.1,16.45,2,227.4,0
4,2020,10,18,14,17,40,,,17.1,16.44,2,227.4,0
5,2020,10,18,14,17,50,,,17.1,16.44,2,227.4,0
6,2020,10,18,14,18,0,,,17.1,16.43,2,227.3,0
7,2020,10,18,14,18,10,,,17.1,16.43,2,227.3,0
8,2020,10,18,14,18,20,,,17.1,16.43,2,227.3,0
9,2020,10,18,14,22,00,,,17.1,16.38,2,227.0,0
10,2020,10,18,14,30,00,,,17.1,16.31,2,226.0,0
11,2020,10,18,14,34,00,,,17.1,16.28,2,225.5,0
12,2020,10,18,14,39,00,,,17.1,16.23,2,224.8,0
13,2020,10,18,14,42,00,,,17.1,16.22,2,224.0,0
14,2020,10,18,14,49,00,29.4,37.1,17.1,16.17,2,224.0,0
15,2020,10,18,15,43,00,32.2,43.9,17.1,15.97,2,219.4,0
16,2020,10,18,16,28,00,32.9,46.6,17.1,15.89,2,217.2,0
17,2020,10,18,17,12,00,33.3,48.2,17.1,15.85,2,215.3,0
18,2020,10,19,10,32,00,24.3,36.4,17.1,15.97,2,218.3,16.183
19,2020,10,19,12,34,00,27.4,42.8,17.1,15.97,2,215.5,16.183
20,2020,10,19,15,36,00,31.3,46.9,17.1,15.89,2,213.4,16.183
21,2020,10,20,9,14,00,25.2,42.8,17.1,15.99,2,215.1,16.183
22,2020,10,20,13,36,00,28.6,44.8,17.1,15.96,2,214.4,16.183
23,2020,10,21,14,52,00,30.9,46.9,17.1,15.92,2,213.6,16.183
24,2020,10,21,18,33,00,31.6,48.4,17.1,15.88,2,212.7,16.183
25,2020,10,22,18,47,00,30.7,47.6,17.1,15.91,2,213.1,16.183
26,2020,10,23,11,37,00,24.7,41.5,17.1,16.06,2,215.8,16.183
27,2020,10,23,21,9,00,26.9,44.5,17.1,15.99,2,214.0,16.183
28,2020,10,24,17,20,00,26.5,44.2,17.1,16.0,2,213.6,16.183
29,2020,10,25,17,43,00,26.3,43.6,17.1,16.02,2,213.2,16.183
30,2020,10,26,11,47,00,23.7,40.4,17.1,16.10,2,215.2,16.183
31,2020,10,26,17,30,00,27.0,43.8,17.1,16.02,2,213.4,16.183
32,2020,10,27,21,11,00,26.1,43.2,17.1,16.05,2,213.0,16.183
33,2020,10,28,17,4,00,27.1,43.7,17.1,16.03,2,212.6,16.183
34,2020,10,29,18,13,00,26.6,43.6,17.1,16.04,2,212.2,16.183
35,2020,10,30,17,1,00,27.4,43.8,17.1,16.05,2,211.8,16.183
36,2020,10,31,17,48,00,26.8,44.2,17.1,16.04,2,211.0,16.183
37,2020,11,1,21,22,00,26.3,42.7,17.1,16.08,2,211.6,30.853
38,2020,11,2,18,28,00,26.6,43.4,17.1,16.07,2,211.0,30.583
39,2020,11,3,17,3,00,27.6,44.4,17.1,16.05,2,210.3,30.583
40,2020,11,4,20,41,00,26.4,43.6,17.1,16.07,2,210.2,30.583
41,2020,11,5,16,47,00,28.5,45.4,17.1,16.03,2,208.9,30.583
42,2020,11,6,21,29,00,23.2,41.0,17.1,16.14,2,210.9,30.583
43,2020,11,7,16,54,00,23.8,40.9,17.1,16.15,2,210.7,30.583
44,2020,11,8,22,38,00,20.4,37.7,17.1,16.24,2,212.0,30.583
45,2020,11,9,19,42,00,20.8,38.2,17.1,16.23,2,211.5,30.583
46,2020,11,10,17,51,00,22.4,39.4,17.1,16.20,2,210.5,30.583
47,2020,11,11,21,2,00,20.8,38.4,17.1,16.23,2,210.7,30.583
48,2020,11,12,17,16,00,22.2,39.3,17.1,16.21,2,209.9,30.583
49,2020,11,13,14,34,00,22.3,39.2,17.1,16.21,2,209.6,30.583
50,2020,11,14,16,31,00,18.0,18.0,,,2,222.6,56.083
51,2020,11,14,16,31,30,18.0,18.0,,,2,222.2,56.083
52,2020,11,14,16,32,00,,19.0,,,2,222.1,56.083
53,2020,11,14,16,32,30,,19.3,,,2,222.0,56.083
54,2020,11,14,16,33,00,,19.6,,,2,221.9,56.083
55,2020,11,14,16,33,30,,19.9,,,2,221.8,56.083
56,2020,11,14,16,34,00,,20.1,,,2,221.7,56.083
57,2020,11,14,16,34,30,,20.3,,,2,221.6,56.083
58,2020,11,14,16,35,00,,20.5,,,2,221.5,56.083
59,2020,11,14,16,36,00,,20.9,,,2,221.4,56.083
60,2020,11,14,16,37,00,,21.2,,,2,221.2,56.083
61,2020,11,14,16,38,00,,21.6,,,2,221.0,56.083
62,2020,11,14,16,39,00,,21.8,,,2,220.9,56.083
63,2020,11,14,16,40,00,,22.0,,,2,220.7,56.083
64,2020,11,14,16,41,00,,22.3,,,2,220.6,56.083
65,2020,11,14,16,42,00,,22.6,,,2,220.4,56.083
66,2020,11,14,16,43,00,17.1,22.8,,,2,220.3,56.083
67,2020,11,14,16,43,30,,23.1,,,2,219.9,56.083
68,2020,11,14,16,50,00,17.3,24.3,,,2,219.1,56.083
69,2020,11,14,16,59,00,17.9,26.1,,,2,218.1,56.083
70,2020,11,14,17,06,00,18.3,27.3,,,2,217.4,56.083
71,2020,11,14,17,21,00,19.2,29.6,,,2,216.0,56.083
72,2020,11,14,19,24,00,21.4,37.2,,16.28,2,210.8,56.083
73,2020,11,16,17,03,00,23.4,40.4,17.1,16.18,2,208.2,56.083
74,2020,11,18,10,38,00,22.6,39.3,,16.21,2,208.3,72.15
75,2020,11,19,17,8,00,22.3,39.5,,16.20,2,207.7,72.15
76,2020,11,21,16,33,00,19.9,37.6,,16.26,2,208.5,72.15
77,2020,11,22,18,39,00,21.9,39.0,,16.23,2,207.4,72.15
78,2020,11,23,16,13,00,21.6,38.9,,16.23,2,207.1,72.15
79,2020,11,25,13,26,00,21.1,37.9,,16.26,2,207.3,72.15
80,2020,11,26,14,28,00,20.8,37.7,17.1,16.27,2,207.3,72.15
81,2020,11,27,21,8,00,18.6,36.6,17.1,16.30,2,207.7,72.15
82,2020,11,29,18,32,00,20.6,37.8,17.1,16.27,2,206.6,72.15
83,2020,12,1,18,58,00,21.1,38.3,17.1,16.27,2,205.5,72.15
84,2020,12,2,14,15,00,21.2,38.2,17.1,16.27,2,205.8,72.15
85,2020,12,3,21,57,00,19.8,37.2,17.1,16.30,2,206.0,72.15
86,2020,12,12,13,22,00,18.9,36.4,17.1,16.32,2,202.2,72.15
87,2020,12,21,17,50,00,17.7,35.8,17.1,16.35,2,200.9,72.15
88,2020,12,30,14,18,00,19.6,36.3,17.1,16.35,2,198.6,72.15
